Date,Day,Type,Clock In,Clock Out,Worked Hours,Expected Hours,Overtime/Undertime,Notes
"2026-01-07","Wed","Holiday (full)","-","-","-","-","-","Public holiday"
"2026-01-06","Tue","Regular","16:15","16:15","0h 0m","12h 1m","-13h 1m",""
